CKDEPI LOGPRO dose
10 2.2 1
10 2.4 1
10 2.6 1
10 2.8 1
10 3 1
10 3.2 1
10 3.4 1
10 3.6 1
10 3.8 1
10 4 1
10 4.2 1
10 4.4 1
20 2.2 3
20 2.4 2
20 2.6 1
20 2.8 1
20 3 1
20 3.2 1
20 3.4 1
20 3.6 1
20 3.8 1
20 4 1
20 4.2 1
20 4.4 1
30 2.2 4
30 2.4 3
30 2.6 2
30 2.8 2
30 3 2
30 3.2 1
30 3.4 1
30 3.6 1
30 3.8 1
30 4 1
30 4.2 1
30 4.4 1
40 2.2 6
40 2.4 3
40 2.6 3
40 2.8 2
40 3 2
40 3.2 2
40 3.4 2
40 3.6 1
40 3.8 1
40 4 1
40 4.2 1
40 4.4 1
50 2.2 6
50 2.4 4
50 2.6 3
50 2.8 3
50 3 2
50 3.2 2
50 3.4 2
50 3.6 2
50 3.8 2
50 4 1
50 4.2 1
50 4.4 1
60 2.4 5
60 2.6 3
60 2.8 3
60 3 2
60 3.2 2
60 3.4 2
60 3.6 2
60 3.8 2
60 4 2
60 4.2 1
60 4.4 1
70 2.4 5
70 2.6 4
70 2.8 3
70 3 3
70 3.2 3
70 3.4 2
70 3.6 2
70 3.8 2
70 4 2
70 4.2 2
70 4.4 2
80 2.4 6
80 2.6 4
80 2.8 4
80 3 3
80 3.2 3
80 3.4 3
80 3.6 2
80 3.8 2
80 4 2
80 4.2 2
80 4.4 2
90 2.4 6
90 2.6 4
90 2.8 3
90 3 3
90 3.2 3
90 3.4 3
90 3.6 3
90 3.8 2
90 4 2
90 4.2 2
90 4.4 2
100 2.4 6
100 2.6 5
100 2.8 4
100 3 3
100 3.2 3
100 3.4 3
100 3.6 3
100 3.8 3
100 4 3
100 4.2 2
100 4.4 2
110 2.4 6
110 2.6 5
110 2.8 5
110 3 4
110 3.2 3
110 3.4 3
110 3.6 3
110 3.8 3
110 4 3
110 4.2 3
110 4.4 2
120 2.4 6
120 2.6 5
120 2.8 4
120 3 4
120 3.2 3
120 3.4 3
120 3.6 3
120 3.8 3
120 4 3
120 4.2 2
120 4.4 2
130 2.6 5
130 2.8 5
130 3 4
130 3.2 3
130 3.4 4
130 3.6 3
130 3.8 3
130 4 3
130 4.2 3
130 4.4 3
140 2.6 6
140 2.8 5
140 3 4
140 3.2 4
140 3.4 3
140 3.6 3
140 3.8 3
140 4 3
140 4.2 3
140 4.4 3
150 2.6 6
150 2.8 6
150 3 5
150 3.2 4
150 3.4 3
150 3.6 4
150 3.8 3
150 4 3
150 4.2 3
150 4.4 3
160 2.6 6
160 2.8 5
160 3 5
160 3.2 5
160 3.4 4
160 3.6 3
160 3.8 3
160 4 3
160 4.2 3
160 4.4 3
