CKDEPI.c LOGPRO.c dose.c
0 2 4.800000000000001
0 2.01 4.7
0 2.02 4.6
0 2.03 4.5
0 2.04 4.5
0 2.05 4.4
0 2.06 4.300000000000001
0 2.07 4.2
0 2.08 4.2
0 2.09 4.1
0 2.1 4
0 2.11 4
0 2.12 3.9000000000000004
0 2.13 3.8000000000000003
0 2.14 3.8000000000000003
0 2.15 3.7
0 2.16 3.6
0 2.17 3.6
0 2.18 3.5
0 2.19 3.5
0 2.2 3.4000000000000004
0 2.21 3.3000000000000003
0 2.22 3.3000000000000003
0 2.23 3.2
0 2.24 3.2
0 2.25 3.1
0 2.26 3.1
0 2.27 3
0 2.2800000000000002 3
0 2.29 2.9000000000000004
0 2.3 2.9000000000000004
0 2.31 2.9000000000000004
0 2.32 2.8
0 2.33 2.8
0 2.34 2.7
0 2.35 2.7
0 2.36 2.6
0 2.37 2.6
0 2.38 2.6
0 2.39 2.5
0 2.4 2.5
0 2.41 2.4000000000000004
0 2.42 2.4000000000000004
0 2.43 2.3
0 2.44 2.3
0 2.45 2.3
0 2.46 2.2
0 2.47 2.2
0 2.48 2.2
0 2.49 2.1
0 2.5 2.1
0 2.51 2.1
0 2.52 2
0 2.5300000000000002 2
0 2.54 2
0 2.55 1.9
0 2.56 1.9
0 2.5700000000000003 1.9
0 2.58 1.8
0 2.59 1.8
0 2.6 1.8
0 2.61 1.7000000000000002
0 2.62 1.7000000000000002
0 2.63 1.7000000000000002
0 2.64 1.7000000000000002
0 2.65 1.6
0 2.66 1.6
0 2.67 1.6
0 2.68 1.5
0 2.69 1.5
0 2.7 1.5
0 2.71 1.5
0 2.7199999999999998 1.4
0 2.73 1.4
0 2.74 1.4
0 2.75 1.4
0 2.76 1.4
0 2.77 1.3
0 2.7800000000000002 1.3
0 2.79 1.3
0 2.8 1.3
0 2.81 1.2
0 2.8200000000000003 1.2
0 2.83 1.2
0 2.84 1.2
0 2.85 1.2
0 2.86 1.1
0 2.87 1.1
0 2.88 1.1
0 2.89 1.1
0 2.9 1.1
0 2.91 1.1
0 2.92 1
0 2.93 1
0 2.94 1
0 2.95 1
0 2.96 1
0 2.9699999999999998 1
0 2.98 1
0 2.99 1
0 3 1
0 3.01 1
0 3.02 1
0 3.0300000000000002 1
0 3.04 1
0 3.05 1
0 3.06 1
0 3.0700000000000003 1
0 3.08 1
