CKDEPI LOGPRO dose.c
10 2.2 2.4000000000000004
10 2.4 1
10 2.6 1
10 2.8 1
10 3 1
10 3.2 1
10 3.4 1
10 3.6 1
10 3.8 1
10 4 1
10 4.2 1
10 4.4 1
20 2.2 2.9000000000000004
20 2.4 1.9
20 2.6 1
20 2.8 1
20 3 1
20 3.2 1
20 3.4 1
20 3.6 1
20 3.8 1
20 4 1
20 4.2 1
20 4.4 1
30 2.2 3.8000000000000003
30 2.4 2.8
30 2.6 1.9
30 2.8 1.7000000000000002
30 3 1.4
30 3.2 1
30 3.4 1
30 3.6 1
30 3.8 1
30 4 1
30 4.2 1
30 4.4 1
40 2.2 5.4
40 2.4 3.1
40 2.6 2.4000000000000004
40 2.8 1.9
40 3 1.5
40 3.2 1.4
40 3.4 1.4
40 3.6 1
40 3.8 1
40 4 1
40 4.2 1
40 4.4 1
50 2.2 6
50 2.4 3.5
50 2.6 2.9000000000000004
50 2.8 2.3
50 3 1.9
50 3.2 1.8
50 3.4 1.7000000000000002
50 3.6 1.3
50 3.8 1.3
50 4 1
50 4.2 1
50 4.4 1
60 2.4 4.800000000000001
60 2.6 3
60 2.8 2.6
60 3 2.1
60 3.2 2
60 3.4 1.9
60 3.6 1.7000000000000002
60 3.8 1.5
60 4 1.5
60 4.2 1
60 4.4 1
70 2.4 4.9
70 2.6 3.4000000000000004
70 2.8 3
70 3 2.2
70 3.2 2.2
70 3.4 2
70 3.6 1.9
70 3.8 1.6
70 4 1.6
70 4.2 1.5
70 4.4 1.5
80 2.4 5.800000000000001
80 2.6 4.2
80 2.8 3.5
80 3 2.8
80 3.2 2.6
80 3.4 2.3
80 3.6 1.9
80 3.8 1.9
80 4 1.8
80 4.2 1.5
80 4.4 1.3
90 2.4 5.7
90 2.6 4.300000000000001
90 2.8 3.1
90 3 3
90 3.2 2.8
90 3.4 2.5
90 3.6 2.4000000000000004
90 3.8 2
90 4 2
90 4.2 1.7000000000000002
90 4.4 1.7000000000000002
100 2.6 4.300000000000001
100 2.8 3.7
100 3 3
100 3.2 3
100 3.4 2.7
100 3.6 2.3
100 3.8 2.3
100 4 2.2
100 4.2 1.9
100 4.4 1.7000000000000002
110 2.6 5
110 2.8 4.4
110 3 3.1
110 3.2 3
110 3.4 2.8
110 3.6 2.7
110 3.8 2.6
110 4 2.2
110 4.2 2.2
110 4.4 2
120 2.6 4.9
120 2.8 3.9000000000000004
120 3 3.5
120 3.2 3
120 3.4 2.9000000000000004
120 3.6 2.6
120 3.8 2.7
120 4 2.4000000000000004
120 4.2 2.1
120 4.4 2
130 2.6 5.2
130 2.8 4.9
130 3 3.7
130 3.2 3
130 3.4 3.1
130 3.6 2.9000000000000004
130 3.8 2.9000000000000004
130 4 2.5
130 4.2 2.1
130 4.4 2.3
140 2.6 6
140 2.8 4.800000000000001
140 3 3.8000000000000003
140 3.2 3.4000000000000004
140 3.4 3.1
140 3.6 3.1
140 3.8 2.8
140 4 2.7
140 4.2 2.6
140 4.4 2.5
150 2.6 5.9
150 2.8 5.5
150 3 4.5
150 3.2 3.9000000000000004
150 3.4 3
150 3.6 3.1
150 3.8 2.7
150 4 2.7
150 4.2 2.6
150 4.4 2.4000000000000004
160 2.8 5.3
160 3 4.6
160 3.2 4.4
160 3.4 3.4000000000000004
160 3.6 3.1
160 3.8 3
160 4 2.8
160 4.2 2.6
160 4.4 2.5
