dose,b,m
1.5,1.5999610643209121,0.08270727764974185
2,1.6304948846521503,0.06395307329223061
2.5,1.6428272600224005,0.052476533399757185
3,1.6776834976336634,0.043884607167415726
3.5,1.7253251536512513,0.03724971304933017
4,1.7704525573400636,0.032156926138318984
4.5,1.8051846041650803,0.028321647221561108
5,1.8319736622851321,0.02533613501527374
5.5,1.8539382918737477,0.02292497372410357
6,1.877019426579628,0.020871646346241918
6.5,1.902600416832088,0.01905124764628167
7,1.9279199500098576,0.01746429937670666
7.5,1.9420387859756703,0.01620826234142889
8,1.9425183869670675,0.015253872294409675
8.5,1.9401194640008692,0.014431368836341833
9,1.9430142507261812,0.01365794388681231
9.5,1.9436605498262307,0.012976188006185224
10,1.944526400207225,0.012353768981194462
10.5,1.9441816944416521,0.011799521095778717
11,1.941497356325179,0.011315199436191166
11.5,1.939304519818737,0.010869236564116211
12,1.9344228637910421,0.01047108330820091
12.5,1.9305985415530829,0.01010929593666847
13,1.9226509003213559,0.009794089858903265
13.5,1.9200235193399706,0.009472172498374638
14,1.9145401982494867,0.009187461245797309
14.5,1.90901185902447,0.008923426284381262
15,1.9004497996516299,0.008698296071112234
15.5,1.8919878531373522,0.008487522098165617
16,1.885190906000472,0.00827932443007306
16.5,1.8761033942360847,0.008095338692250924
17,1.868398579862853,0.007912394400176385
17.5,1.860327116630872,0.0077441481256884485
18,1.8530396459509022,0.007582819055802737
